 10 100
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 1349 999999
 3   282   352   250   136   423   133   135   384   565   128 
 7   295   229   686   430   149   425   435   190   231   431 
 114   182   252   245    30   349    27    28   307   460    29 
 51   396   470   725   481   444   481   473   411   685   483 
 408   163    85   443   183   221   183   193   219   255   187 
 84   357   411    79   189   496   181   193   473   620   176 
 30   125   147   359    98   284   104   114   241   355   106 
 240   166   220   274    13   305    19    28   282   418    22 
 84    88    51   476   217    98   218   227    91   268   224 
 174   139   221   510   257   195   264   260   163   436   260 
 21   171   241   273    24   326    21    23   295   459    25 
 48   552   614   132   385   695   368   380   661   815   374 
 68   467   533   115   306   616   300   312   575   736   295 
 27   230   306   602   350   273   353   351   228   520   353 
 114   164   218   278    29   320    30    39   287   432    36 
 81   383   460   756   504   416   508   506   323   586   507 
 8   162   233   266    23   319    21    19   288   455    25 
 12   302   368   184   138   454   135   149   423   571   130 
 12   334   387   166   162   492   159   172   463   590   154 
 30   388   417    72   195   502   187   199   479   626   182 
 12   305   378   640   391   347   382   380   306   595   389 
 48   193   249   240    22   352    19    31   322   449    14 
 27   199   285   529   284   266   275   272   218   499   286 
 12   170   224   266     6   346    12    20   304   434    16 
 24   198   241   280    31   326    29    27   287   467    32 
 12   219   256   272    27   341    28    39   318   444    25 
 6   390   435   143   208   519   204   216   480   639   199 
 18   355   410    80   188   495   180   192   472   619   175 
 8    73   178   420   174   197   157   157   158   415   178 
 36   139   109   419   158   245   158   168   240   279   162 
 26   229   303   312    98   358    95    93   319   527    98 
 18   163   221   282    15   306    16    25   283   432    22 
 18   166   239   269    29   331    26    24   290   462    29 
 24   183   264   329    84   320    79    77   279   486    86 
 58   391   465   720   476   447   469   467   398   680   478 
 9   342   416   671   427   390   426   418   356   631   429 
 10   164   231   269    22   317    15    13   291   451    20 
 6   552   614   132   385   695   368   380   661   815   374 
 18   152    72   454   194   209   202   211   206   237   202 
 52   188   235   266    14   328    15    26   316   429    12 
 16   177   233   257     6   319     3    16   307   435     4 
 27   426   486     6   259   576   258   270   551   690   253 
 7   371   437   144   210   522   207   217   479   639   199 
 286    74   157   361   102   231   103   103   190   411   109 
 306   175   237   266    12   322    10    11   297   442    14 
 52   168   222   267     8   328     9    18   288   433    14 
 294   168   221   273    10   338    11    21   296   430    17 
 30   177   231   259     3   349     5    14   305   432     6 
 131   304   379   237   173   431   167   163   389   608   171 
 12   263   338   593   349   312   347   342   280   553   351 
 32   269   340   184   111   433   108   120   392   544   103 
 222   159   125   558   302    32   312   319     7   318   305 
 16   390   435   143   208   519   204   216   480   639   199 
 7   177   231   259     3   349     5    14   305   432     6 
 163   218   273   249    48   359    45    59   356   476    39 
 113   283   321   177    94   406    91   103   377   524    86 
 36   164   235   268    27   321    23    21   290   457    28 
 37   327   270   725   469   180   468   477   192   319   472 
 29   492   537   160   310   621   306   318   582   740   301 
 22   211   265   274    36   384    37    48   338   452    32 
 26   168   221   271    10   308    16    25   301   419    19 
 57   293   362   319   154   414   150   148   375   587   154 
 28   190   228   281    10   313    16    25   290   427    19 
 18   217   184   428   159   306   163   171   294   292   167 
 60   154    74   462   193   210   196   206   207   241   200 
 99   645   576   849   614   569   617   624   606   348   609 
 90   385   327   556   354   465   366   369   463   425   349 
 16   364   307   568   335   443   331   342   440   400   348 
 58   531   591   167   364   707   364   377   657   793   358 
 117   509   440   885   626   378   628   638   413   305   632 
 24   498   427   883   613   422   614   624   458   202   618 
 66   459   400   605   399   538   394   406   530   499   394 
 7   390   332   589   359   469   357   369   466   431   354 
 28   557   486   771   530   481   522   534   517   260   517 
 15   554   482   777   600   477   522   534   513   256   517 
 24   511   449   433   447   585   337   349   560   539   420 
 21   333   275   536   302   411   299   311   409   369   294 
 39   285   333   306   111   426   128   124   414   463   123 
 13   594   528   869   630   506   619   631   548   298   634 
 30   380   318   559   345   459   355   359   453   415   340 
 7   313   355   325   139   453   156   169   442   453   151 
 17   517   583   205   356   661   353   364   625   785   346 
 18   376   317   544   344   459   354   369   455   415   339 
 10   556   486   930   670   418   679   689   463   273   677 
 654   380   322   583   350   459   346   358   456   420   384 
 44   560   491   935   676   428   680   689   464   278   683 
 102   509   439   884   624   373   633   642   413   304   631 
 330   282   330   309   108   423   125   138   412   460   120 
 6   480   560   211   338   617   335   350   575   763   326 
 24   509   440   885   626   378   628   638   413   305   632 
 52   547   476   924   639   460   634   646   496   251   629 
 154   567   602   271   375   687   372   382   664   713   367 
 60   554   485   867   633   465   630   642   504   261   625 
 38   380   322   556   349   459   359   384   561   420   344 
 42   540   471   869   635   455   629   641   491   247   624 
 200   515   574   210   347   640   343   355   598   778   338 
 26   415   355   545   328   490   327   339   485   450   322 
 83   410   352   616   382   488   379   391   485   384   374 
 91   521   513   389   347   650   346   499   669   611   481 
 55   334   276   538   303   414   302   311   486   371   297 
 56265.5 25409
 62868.7 30467.4
 9264.62 33835.6
 38222.1 30356.8
 72518.5 24788.5
 37687.2 30280
 38304.4 29742.8
 69383.6 22391.1
 80973.6 42798
 37288.3 30580.7
 27441 24893.3
 86755.1 29436.3
 35810.5 29935.6
 69998 0
 57786.6 35030.9
 18489.9 34572.9
 48551.6 31120.9
 39810.8 30149.3
 63995.3 26685.2
 56745.6 15915.2
 37070.6 28810.5
 0 39607.4
 5793.8 25337.6
 65058.8 10436.4
 39052.3 29190
 77384.1 4564.6
 37775.5 28816.9
 22393.7 28385.2
 23502 38304.1
 17717.9 34855.7
 63252.6 4768.95
 35801.2 30801
 53972.4 11365.6
 38472.3 30012.6
 37194.8 28199.1
 37367.2 32159.7
 15192.1 25398
 18601.2 34600.3
 51560.7 22656.1
 55056.2 34424.5
 35206.4 23783.8
 39099.1 29440.1
 37385.7 28392.8
 39649.3 24348.4
 70171.8 427.648
 64325.5 1595.61
 38200.6 29239.3
 0 39607.4
 59588.7 35445.5
 38146.7 31290.3
 37612.2 30468
 9695.35 34312.1
 15277.6 25202.7
 47966.2 26470
 37508.5 29769.1
 38519.1 29846.8
 38832.8 29816.2
 37888.7 30397.8
 24027.2 22364.4
 60312.1 7428.82
 27593.6 29256.9
 69677.3 23025.4
